original_filename,renamed_filename,file_size_bytes,last_modified_utc,share_path
rfp_response_fibre_supplier.docx,rfp_response_fibre_supplier.docx.greyharbour,921752,2026-08-11T16:49:26Z,\\NX-FS01\Procurement\VendorContracts
board_pack_july_2026.pdf,board_pack_july_2026.pdf.greyharbour,92495,2026-08-11T16:50:01Z,\\NX-FS01\ExecOffice\BoardPapers
invoice_datacentre_cooling.pdf,invoice_datacentre_cooling.pdf.greyharbour,479007,2026-08-11T16:50:15Z,\\NX-FS01\Finance-Archive\Invoices
offer_letter_template.docx,offer_letter_template.docx.greyharbour,584129,2026-08-11T16:50:44Z,\\NX-FS01\HR-Records\Recruitment
invoice_subcontractor_civils.pdf,invoice_subcontractor_civils.pdf.greyharbour,934295,2026-08-11T16:51:05Z,\\NX-FS01\Finance-Archive\Invoices
capex_approval_tracker.xlsx,capex_approval_tracker.xlsx.greyharbour,867077,2026-08-11T16:51:17Z,\\NX-FS01\Finance-Archive\Budgets
bonus_pool_allocation.xlsx,bonus_pool_allocation.xlsx.greyharbour,913953,2026-08-11T16:51:48Z,\\NX-FS01\HR-Records\Payroll
budget_2026_customer_care.xlsx,budget_2026_customer_care.xlsx.greyharbour,299945,2026-08-11T16:52:27Z,\\NX-FS01\Finance-Archive\Budgets
vpn_backup_full.zip,vpn_backup_full.zip.greyharbour,384198,2026-08-11T16:52:57Z,\\NX-FS01\Finance-Archive\staging
interconnect_agreement_draft.docx,interconnect_agreement_draft.docx.greyharbour,249960,2026-08-11T16:53:25Z,\\NX-FS01\Legal\Contracts
escalation_log_enterprise_accounts.xlsx,escalation_log_enterprise_accounts.xlsx.greyharbour,95015,2026-08-11T16:53:38Z,\\NX-FS01\CustomerCare\Tickets
generator_maintenance_schedule.xlsx,generator_maintenance_schedule.xlsx.greyharbour,166647,2026-08-11T16:53:53Z,\\NX-FS01\Engineering\FieldMaintenance
dr_test_results_may.docx,dr_test_results_may.docx.greyharbour,698504,2026-08-11T16:54:11Z,\\NX-FS01\IT\Backups
account_plan_enterprise_tier1.xlsx,account_plan_enterprise_tier1.xlsx.greyharbour,20649,2026-08-11T16:54:29Z,\\NX-FS01\Sales\AccountPlans
candidate_shortlist_noc_engineer.docx,candidate_shortlist_noc_engineer.docx.greyharbour,879464,2026-08-11T16:55:04Z,\\NX-FS01\HR-Records\Recruitment
procurement_approval_log.xlsx,procurement_approval_log.xlsx.greyharbour,283509,2026-08-11T16:55:19Z,\\NX-FS01\Procurement\VendorContracts
risk_register_summary.xlsx,risk_register_summary.xlsx.greyharbour,12292,2026-08-11T16:55:41Z,\\NX-FS01\ExecOffice\BoardPapers
churn_risk_watchlist.xlsx,churn_risk_watchlist.xlsx.greyharbour,447297,2026-08-11T16:55:54Z,\\NX-FS01\Sales\AccountPlans
brand_guidelines_2026.pdf,brand_guidelines_2026.pdf.greyharbour,395190,2026-08-11T16:56:32Z,\\NX-FS01\Marketing\BrandAssets
monitoring_alert_thresholds.xlsx,monitoring_alert_thresholds.xlsx.greyharbour,342088,2026-08-11T16:57:12Z,\\NX-FS01\Engineering\NetworkOps
strategy_offsite_notes.docx,strategy_offsite_notes.docx.greyharbour,732035,2026-08-11T16:57:24Z,\\NX-FS01\ExecOffice\BoardPapers
software_licence_tracker.xlsx,software_licence_tracker.xlsx.greyharbour,655592,2026-08-11T16:58:00Z,\\NX-FS01\IT\AssetInventory
regulatory_complaint_summary.pdf,regulatory_complaint_summary.pdf.greyharbour,486825,2026-08-11T16:58:07Z,\\NX-FS01\CustomerCare\Escalations
sla_customer_care_outsourcer.pdf,sla_customer_care_outsourcer.pdf.greyharbour,419439,2026-08-11T16:58:46Z,\\NX-FS01\Legal\Contracts
renewal_pipeline_q3.xlsx,renewal_pipeline_q3.xlsx.greyharbour,426359,2026-08-11T16:59:15Z,\\NX-FS01\Sales\AccountPlans
interview_scorecards_batch2.xlsx,interview_scorecards_batch2.xlsx.greyharbour,116566,2026-08-11T16:59:44Z,\\NX-FS01\HR-Records\Recruitment
payroll_extract_july.xlsx,payroll_extract_july.xlsx.greyharbour,673100,2026-08-11T17:00:18Z,\\NX-FS01\HR-Records\Payroll
photography_assets_datacentre_launch.zip,photography_assets_datacentre_launch.zip.greyharbour,73271,2026-08-11T17:00:47Z,\\NX-FS01\Marketing\BrandAssets
supplier_contract_fibre_ducting.pdf,supplier_contract_fibre_ducting.pdf.greyharbour,78619,2026-08-11T17:01:03Z,\\NX-FS01\Legal\Contracts
capex_forecast_2026.xlsx,capex_forecast_2026.xlsx.greyharbour,470030,2026-08-11T17:01:20Z,\\NX-FS01\Finance-Archive\Reports
vip_customer_escalation_notes.docx,vip_customer_escalation_notes.docx.greyharbour,123268,2026-08-11T17:01:34Z,\\NX-FS01\CustomerCare\Escalations
backup_manifest_exchange.xlsx,backup_manifest_exchange.xlsx.greyharbour,637908,2026-08-11T17:01:59Z,\\NX-FS01\IT\Backups
recruitment_pipeline_q3.xlsx,recruitment_pipeline_q3.xlsx.greyharbour,115352,2026-08-11T17:02:06Z,\\NX-FS01\HR-Records\Recruitment
csat_survey_results_q2.xlsx,csat_survey_results_q2.xlsx.greyharbour,602315,2026-08-11T17:02:10Z,\\NX-FS01\CustomerCare\Tickets
campaign_brief_5g_launch.pptx,campaign_brief_5g_launch.pptx.greyharbour,570685,2026-08-11T17:02:23Z,\\NX-FS01\Marketing\Campaigns
opex_variance_report.docx,opex_variance_report.docx.greyharbour,389272,2026-08-11T17:02:33Z,\\NX-FS01\Finance-Archive\Reports
regulatory_filing_q2.pdf,regulatory_filing_q2.pdf.greyharbour,81731,2026-08-11T17:02:38Z,\\NX-FS01\Legal\Compliance
major_incident_comms_log.docx,major_incident_comms_log.docx.greyharbour,651898,2026-08-11T17:02:55Z,\\NX-FS01\CustomerCare\Escalations
core_routing_topology_v12.vsdx,core_routing_topology_v12.vsdx.greyharbour,163766,2026-08-11T17:03:23Z,\\NX-FS01\Engineering\CoreNetwork
budget_2026_network_ops.xlsx,budget_2026_network_ops.xlsx.greyharbour,372264,2026-08-11T17:03:43Z,\\NX-FS01\Finance-Archive\Budgets
press_release_draft_network_expansion.docx,press_release_draft_network_expansion.docx.greyharbour,505183,2026-08-11T17:04:10Z,\\NX-FS01\Marketing\Campaigns
gdpr_dpia_customer_portal.docx,gdpr_dpia_customer_portal.docx.greyharbour,128956,2026-08-11T17:04:21Z,\\NX-FS01\Legal\Compliance
finance_archive_master_index.xlsx,finance_archive_master_index.xlsx.greyharbour,496625,2026-08-11T17:04:56Z,\\NX-FS01\Finance-Archive\staging
field_engineer_rota_august.xlsx,field_engineer_rota_august.xlsx.greyharbour,515337,2026-08-11T17:05:30Z,\\NX-FS01\Engineering\FieldMaintenance
vendor_scorecard_q2.xlsx,vendor_scorecard_q2.xlsx.greyharbour,98056,2026-08-11T17:05:53Z,\\NX-FS01\Procurement\VendorContracts
ticket_export_billing_disputes.csv,ticket_export_billing_disputes.csv.greyharbour,115151,2026-08-11T17:06:06Z,\\NX-FS01\CustomerCare\Tickets
backup_job_schedule_summary.xlsx,backup_job_schedule_summary.xlsx.greyharbour,784314,2026-08-11T17:06:31Z,\\NX-FS01\IT\Backups
leave_entitlement_matrix.xlsx,leave_entitlement_matrix.xlsx.greyharbour,509871,2026-08-11T17:06:51Z,\\NX-FS01\HR-Records\Policies
invoice_q3_fibre_rollout.pdf,invoice_q3_fibre_rollout.pdf.greyharbour,549415,2026-08-11T17:07:05Z,\\NX-FS01\Finance-Archive\Invoices
cable_fault_repair_log.xlsx,cable_fault_repair_log.xlsx.greyharbour,223183,2026-08-11T17:07:10Z,\\NX-FS01\Engineering\FieldMaintenance
ticket_export_outage_complaints.csv,ticket_export_outage_complaints.csv.greyharbour,387324,2026-08-11T17:07:47Z,\\NX-FS01\CustomerCare\Tickets
q2_consolidated_ledger_export.xlsx,q2_consolidated_ledger_export.xlsx.greyharbour,731588,2026-08-11T17:08:00Z,\\NX-FS01\Finance-Archive\staging
invoice_vendor_ericsson_svc.pdf,invoice_vendor_ericsson_svc.pdf.greyharbour,36356,2026-08-11T17:08:38Z,\\NX-FS01\Finance-Archive\Invoices
board_finance_pack_aug.pdf,board_finance_pack_aug.pdf.greyharbour,320569,2026-08-11T17:09:15Z,\\NX-FS01\Finance-Archive\Reports
remote_work_policy_v3.docx,remote_work_policy_v3.docx.greyharbour,738015,2026-08-11T17:09:24Z,\\NX-FS01\HR-Records\Policies
partner_co_marketing_plan.pptx,partner_co_marketing_plan.pptx.greyharbour,551578,2026-08-11T17:09:44Z,\\NX-FS01\Marketing\Campaigns
annual_audit_prep_notes.docx,annual_audit_prep_notes.docx.greyharbour,183156,2026-08-11T17:10:11Z,\\NX-FS01\Finance-Archive\Reports
laptop_deployment_log.xlsx,laptop_deployment_log.xlsx.greyharbour,817435,2026-08-11T17:10:37Z,\\NX-FS01\IT\AssetInventory
network_change_request_batch14.pptx,network_change_request_batch14.pptx.greyharbour,566463,2026-08-11T17:10:55Z,\\NX-FS01\Engineering\NetworkOps
invoice_leased_lines_july.pdf,invoice_leased_lines_july.pdf.greyharbour,824898,2026-08-11T17:11:33Z,\\NX-FS01\Finance-Archive\Invoices
backup_manifest_fileserver01.xlsx,backup_manifest_fileserver01.xlsx.greyharbour,353678,2026-08-11T17:12:09Z,\\NX-FS01\IT\Backups
invoice_tower_maintenance_lot4.pdf,invoice_tower_maintenance_lot4.pdf.greyharbour,651016,2026-08-11T17:12:27Z,\\NX-FS01\Finance-Archive\Invoices
network_investment_summary.pptx,network_investment_summary.pptx.greyharbour,853234,2026-08-11T17:12:43Z,\\NX-FS01\Finance-Archive\Reports
site_survey_tower_442.pdf,site_survey_tower_442.pdf.greyharbour,866084,2026-08-11T17:13:02Z,\\NX-FS01\Engineering\FieldMaintenance
payroll_extract_august.xlsx,payroll_extract_august.xlsx.greyharbour,783813,2026-08-11T17:13:31Z,\\NX-FS01\HR-Records\Payroll
bgp_peering_config_summary.xlsx,bgp_peering_config_summary.xlsx.greyharbour,217629,2026-08-11T17:13:49Z,\\NX-FS01\Engineering\CoreNetwork
